#                                                                     
# $$\                                                                 
# $$ |                                                                
# $$ |     $$\   $$\ $$$$$$\$$$$\   $$$$$$\  $$$$$$$\                 
# $$ |     $$ |  $$ |$$  _$$  _$$\ $$  __$$\ $$  __$$\                
# $$ |     $$ |  $$ |$$ / $$ / $$ |$$$$$$$$ |$$ |  $$ |               
# $$ |     $$ |  $$ |$$ | $$ | $$ |$$   ____|$$ |  $$ |               
# $$$$$$$$\\$$$$$$  |$$ | $$ | $$ |\$$$$$$$\ $$ |  $$ |               
# \________|\______/ \__| \__| \__| \_______|\__|  \__|               
#                                                                     
#                   Fork Lumen 2.1.0                                  
#                  Branch is bug-fixes                                
#        MPI+OpenMP+SLK+SLEPC+HDF5_MPI_IO Build                       
#               http://www.lumen-code.org                             
#
#     |k| (a.u.)         b1                 b2                 b3                 b4                 b5                 b6                 b7                 b8                 b9                 b10               k_x (rlu)          k_y (rlu)          k_z (rlu)
#
      0.765793741        -40.9417725        -19.7655067       -0.407327898E-1    -0.957199745E-2    -0.140563836E-1      8.82732677         22.8555851         23.0436821         23.1617432         23.8843155        0.372340493E-1      0.00000000        0.372340493E-1
      0.774455965        -40.9415016        -19.7634163       -0.508944467E-1    -0.140980119E-1    -0.181832593E-1      8.84467697         22.7511692         22.9131107         23.1117458         23.7297592        0.425531976E-1      0.00000000        0.425531976E-1
      0.783118188        -40.9412003        -19.7610493       -0.620299652E-1    -0.195427071E-1    -0.228515249E-1      8.86439419         22.6529274         22.7726917         23.0618305         23.5394249        0.478723459E-1      0.00000000        0.478723459E-1
      0.791780412        -40.9408607        -19.7584057       -0.744388178E-1    -0.256961845E-1    -0.279541668E-1      8.88652706         22.5578175         22.6286888         23.0084438         23.3263817        0.531914942E-1      0.00000000        0.531914942E-1
      0.800442636        -40.9404869        -19.7554855       -0.884496421E-1    -0.323313810E-1    -0.333648175E-1      8.91109753         22.4619713         22.4874287         22.9476051         23.1060772        0.585106425E-1      0.00000000        0.585106425E-1
      0.809104860        -40.9400826        -19.7522945       -0.104310952       -0.392676629E-1    -0.389955416E-1      8.93810558         22.3622589         22.3541355         22.8756828         22.8929501        0.638297945E-1      0.00000000        0.638297945E-1
      0.817767084        -40.9396400        -19.7488289       -0.122107424       -0.463994220E-1    -0.448398329E-1      8.96750832         22.2575493         22.2320728         22.7901459         22.6974697        0.691489428E-1      0.00000000        0.691489428E-1
      0.826429307        -40.9391708        -19.7450943       -0.141749233       -0.537032001E-1    -0.509848930E-1      8.99923420         22.1491642         22.1222382         22.6900043         22.5246658        0.744680986E-1      0.00000000        0.744680986E-1
      0.835091531        -40.9386673        -19.7410908       -0.163014933       -0.612197183E-1    -0.575793199E-1      9.03318024         22.0404091         22.0236797         22.5758438         22.3746700        0.797872394E-1      0.00000000        0.797872394E-1
      0.843753755        -40.9381332        -19.7368164       -0.185631827       -0.690300539E-1    -0.647812784E-1      9.06922817         21.9354095         21.9342232         22.4494324         22.2447567        0.851063952E-1      0.00000000        0.851063952E-1
      0.852415979        -40.9375687        -19.7322788       -0.209348083       -0.772259682E-1    -0.727109835E-1      9.10725594         21.8377285         21.8513622         22.3131237         22.1317253        0.904255360E-1      0.00000000        0.904255360E-1
      0.861078203        -40.9369736        -19.7274761       -0.233987451       -0.858816132E-1    -0.814310610E-1      9.14716053         21.7492332         21.7729645         22.1694527         22.0333271        0.957446918E-1      0.00000000        0.957446918E-1
      0.869740427        -40.9363518        -19.7224102       -0.259464741       -0.950311795E-1    -0.909466222E-1      9.18887424         21.6694317         21.6976566         22.0210743         21.9483852        0.101063848         0.00000000        0.101063848   
      0.878402650        -40.9356995        -19.7170830       -0.285781860       -0.104663193       -0.101215862         9.23239040         21.5953178         21.6248302         21.8710423         21.8759041        0.106382988         0.00000000        0.106382988   
      0.887064874        -40.9350204        -19.7115021       -0.313011616       -0.114732802       -0.112158589         9.27778149         21.5217819         21.5543957         21.7229900         21.8141232        0.111702144         0.00000000        0.111702144   
      0.895727098        -40.9343147        -19.7056656       -0.341265827       -0.125181913       -0.123661175         9.32517815         21.4426441         21.4864540         21.5809937         21.7601490        0.117021285         0.00000000        0.117021285   
      0.904389322        -40.9335861        -19.6995754       -0.370665878       -0.135964662       -0.135590017         9.37472057         21.3521538         21.4209881         21.4489231         21.7103329        0.122340433         0.00000000        0.122340433   
      0.913051546        -40.9328270        -19.6932373       -0.401307762       -0.147056803       -0.147812247         9.42649269         21.2466202         21.3576450         21.3296394         21.6609230        0.127659589         0.00000000        0.127659589   
      0.921713769        -40.9320488        -19.6866512       -0.433239907       -0.158458918       -0.160219118         9.48046780         21.1255398         21.2955971         21.2244415         21.6086254        0.132978722         0.00000000        0.132978722   
      0.930375993        -40.9312439        -19.6798267       -0.466455340       -0.170194447       -0.172736928         9.53651047         20.9916954         21.2335167         21.1330490         21.5507851        0.138297886         0.00000000        0.138297886   
      0.939038217        -40.9304199        -19.6727619       -0.500900388       -0.182303324       -0.185320735         9.59442043         20.8502026         21.1696892         21.0541248         21.4853420        0.143617049         0.00000000        0.143617049   
      0.947700441        -40.9295731        -19.6654625       -0.536496162       -0.194833159       -0.197942317         9.65400219         20.7068596         21.1022530         20.9859867         21.4107494        0.148936197         0.00000000        0.148936197   
      0.956362665        -40.9287071        -19.6579361       -0.573160291       -0.207820594       -0.210587382         9.71513653         20.5666065         21.0295563         20.9270878         21.3260784        0.154255331         0.00000000        0.154255331   
      0.965024889        -40.9278221        -19.6501827       -0.610816658       -0.221265242       -0.223271266         9.77779388         20.4325848         20.9505196         20.8761120         21.2313061        0.159574479         0.00000000        0.159574479   
      0.973687112        -40.9269180        -19.6422100       -0.649391472       -0.235108197       -0.236063182         9.84202862         20.3059616         20.8648472         20.8317699         21.1277199        0.164893642         0.00000000        0.164893642   
      0.982349336        -40.9259987        -19.6340237       -0.688804924       -0.249229461       -0.249098942         9.90792751         20.1862583         20.7730370         20.7925510         21.0182056        0.170212790         0.00000000        0.170212790   
      0.991011560        -40.9250641        -19.6256294       -0.728966892       -0.263471484       -0.262562662         9.97558308         20.0718613         20.6762161         20.7566986         20.9071922        0.175531924         0.00000000        0.175531924   
      0.999673784        -40.9241142        -19.6170311       -0.769783437       -0.277679652       -0.276636541         10.0450459         19.9605999         20.5758553         20.7223835         20.8000469        0.180851072         0.00000000        0.180851072   
       1.00833595        -40.9231529        -19.6082401       -0.811175644       -0.291745991       -0.291438133         10.1163168         19.8502808         20.4735317         20.6880226         20.7019653        0.186170220         0.00000000        0.186170220   
       1.01699817        -40.9221764        -19.5992565       -0.853099108       -0.305640072       -0.306970984         10.1893435         19.7392578         20.3707314         20.6525059         20.6167240        0.191489384         0.00000000        0.191489384   
       1.02566040        -40.9211922        -19.5900917       -0.895550370       -0.319417119       -0.323105454         10.2640228         19.6268387         20.2687531         20.6152821         20.5458012        0.196808532         0.00000000        0.196808532   
       1.03432262        -40.9201965        -19.5807533       -0.938560605       -0.333209813       -0.339599073         10.3402109         19.5133743         20.1686478         20.5762749         20.4883099        0.202127695         0.00000000        0.202127695   
       1.04298484        -40.9191971        -19.5712452       -0.982173860       -0.347198635       -0.356142819         10.4177179         19.3999882         20.0711823         20.5357628         20.4417839        0.207446828         0.00000000        0.207446828   
