E[1] [eV],Re(eps)_f_FzB_4,Re(eps)_f_FzB_5,Re(eps)_f_FzB_6,Re(eps)_f_FzB_7,Re(eps)_f_FzB_8,Re(eps)_f_FzB_9
0.510000,1.17722700,1.00629400,1.00493600,1.00405800,1.00249200,1.00075400
0.512000,1.17724300,1.00629400,1.00493700,1.00405800,1.00249200,1.00075400
0.514000,1.17725800,1.00629400,1.00493700,1.00405800,1.00249200,1.00075400
0.516000,1.17727400,1.00629400,1.00493700,1.00405800,1.00249200,1.00075400
0.518000,1.17728900,1.00629400,1.00493700,1.00405800,1.00249200,1.00075400
0.520000,1.17730500,1.00629500,1.00493700,1.00405800,1.00249200,1.00075400
0.522000,1.17732100,1.00629500,1.00493700,1.00405800,1.00249200,1.00075400
0.524000,1.17733600,1.00629500,1.00493700,1.00405800,1.00249200,1.00075400
0.526000,1.17735200,1.00629500,1.00493700,1.00405800,1.00249200,1.00075400
0.528000,1.17736800,1.00629500,1.00493800,1.00405800,1.00249200,1.00075400
0.530000,1.17738300,1.00629600,1.00493800,1.00405900,1.00249200,1.00075400
0.532000,1.17739900,1.00629600,1.00493800,1.00405900,1.00249200,1.00075400
0.534000,1.17741500,1.00629600,1.00493800,1.00405900,1.00249300,1.00075400
0.536000,1.17743100,1.00629600,1.00493800,1.00405900,1.00249300,1.00075400
0.538000,1.17744600,1.00629600,1.00493800,1.00405900,1.00249300,1.00075400
0.540000,1.17746200,1.00629600,1.00493800,1.00405900,1.00249300,1.00075400
0.542000,1.17747800,1.00629700,1.00493800,1.00405900,1.00249300,1.00075400
0.544000,1.17749300,1.00629700,1.00493900,1.00405900,1.00249300,1.00075400
0.546000,1.17750900,1.00629700,1.00493900,1.00405900,1.00249300,1.00075400
0.548000,1.17752500,1.00629700,1.00493900,1.00406000,1.00249300,1.00075400
0.550000,1.17754000,1.00629700,1.00493900,1.00406000,1.00249300,1.00075400
0.552000,1.17755600,1.00629700,1.00493900,1.00406000,1.00249300,1.00075400
0.554000,1.17757200,1.00629800,1.00493900,1.00406000,1.00249300,1.00075400
0.556000,1.17758800,1.00629800,1.00493900,1.00406000,1.00249300,1.00075400
0.558000,1.17760300,1.00629800,1.00494000,1.00406000,1.00249300,1.00075400
0.560000,1.17761900,1.00629800,1.00494000,1.00406000,1.00249300,1.00075400
0.562000,1.17763500,1.00629800,1.00494000,1.00406000,1.00249300,1.00075400
0.564000,1.17765000,1.00629900,1.00494000,1.00406000,1.00249400,1.00075400
0.566000,1.17766600,1.00629900,1.00494000,1.00406100,1.00249400,1.00075400
