E[1] [eV],Im(eps)_f_FzB_4,Im(eps)_f_FzB_5,Im(eps)_f_FzB_6,Im(eps)_f_FzB_7,Im(eps)_f_FzB_8,Im(eps)_f_FzB_9
0.390000,0.00077367,0.00000878,0.00000662,0.00000533,0.00000317,0.00000090
0.392000,0.00077382,0.00000878,0.00000662,0.00000533,0.00000317,0.00000090
0.394000,0.00077396,0.00000878,0.00000662,0.00000533,0.00000317,0.00000090
0.396000,0.00077410,0.00000878,0.00000662,0.00000533,0.00000317,0.00000090
0.398000,0.00077425,0.00000878,0.00000662,0.00000533,0.00000317,0.00000090
0.400000,0.00077439,0.00000878,0.00000662,0.00000533,0.00000317,0.00000090
0.402000,0.00077453,0.00000878,0.00000662,0.00000533,0.00000317,0.00000090
0.404000,0.00077467,0.00000878,0.00000662,0.00000533,0.00000317,0.00000090
0.406000,0.00077482,0.00000878,0.00000662,0.00000533,0.00000317,0.00000090
0.408000,0.00077496,0.00000878,0.00000662,0.00000533,0.00000317,0.00000090
0.410000,0.00077510,0.00000878,0.00000662,0.00000533,0.00000317,0.00000090
0.412000,0.00077525,0.00000878,0.00000662,0.00000533,0.00000317,0.00000090
0.414000,0.00077539,0.00000878,0.00000662,0.00000533,0.00000317,0.00000090
0.416000,0.00077553,0.00000878,0.00000662,0.00000533,0.00000317,0.00000090
0.418000,0.00077567,0.00000878,0.00000662,0.00000533,0.00000317,0.00000090
0.420000,0.00077582,0.00000878,0.00000662,0.00000533,0.00000317,0.00000090
0.422000,0.00077596,0.00000878,0.00000662,0.00000533,0.00000317,0.00000090
0.424000,0.00077611,0.00000878,0.00000663,0.00000533,0.00000317,0.00000091
0.426000,0.00077625,0.00000878,0.00000663,0.00000533,0.00000317,0.00000091
0.428000,0.00077639,0.00000879,0.00000663,0.00000534,0.00000317,0.00000091
0.430000,0.00077654,0.00000879,0.00000663,0.00000534,0.00000317,0.00000091
0.432000,0.00077668,0.00000879,0.00000663,0.00000534,0.00000317,0.00000091
0.434000,0.00077682,0.00000879,0.00000663,0.00000534,0.00000317,0.00000091
0.436000,0.00077697,0.00000879,0.00000663,0.00000534,0.00000317,0.00000091
0.438000,0.00077711,0.00000879,0.00000663,0.00000534,0.00000317,0.00000091
0.440000,0.00077725,0.00000879,0.00000663,0.00000534,0.00000317,0.00000091
0.442000,0.00077740,0.00000879,0.00000663,0.00000534,0.00000317,0.00000091
0.444000,0.00077754,0.00000879,0.00000663,0.00000534,0.00000317,0.00000091
0.446000,0.00077769,0.00000879,0.00000663,0.00000534,0.00000317,0.00000091
0.448000,0.00077783,0.00000879,0.00000663,0.00000534,0.00000317,0.00000091
0.450000,0.00077797,0.00000879,0.00000663,0.00000534,0.00000317,0.00000091
0.452000,0.00077812,0.00000879,0.00000663,0.00000534,0.00000317,0.00000091
0.454000,0.00077826,0.00000879,0.00000663,0.00000534,0.00000317,0.00000091
0.456000,0.00077841,0.00000879,0.00000663,0.00000534,0.00000317,0.00000091
0.458000,0.00077855,0.00000879,0.00000663,0.00000534,0.00000317,0.00000091
0.460000,0.00077869,0.00000879,0.00000663,0.00000534,0.00000317,0.00000091
0.462000,0.00077884,0.00000879,0.00000663,0.00000534,0.00000317,0.00000091
0.464000,0.00077898,0.00000879,0.00000663,0.00000534,0.00000317,0.00000091
0.466000,0.00077913,0.00000879,0.00000663,0.00000534,0.00000317,0.00000091
0.468000,0.00077927,0.00000880,0.00000663,0.00000534,0.00000317,0.00000091
0.470000,0.00077941,0.00000880,0.00000663,0.00000534,0.00000317,0.00000091
0.472000,0.00077956,0.00000880,0.00000663,0.00000534,0.00000317,0.00000091
0.474000,0.00077970,0.00000880,0.00000663,0.00000534,0.00000317,0.00000091
0.476000,0.00077985,0.00000880,0.00000663,0.00000534,0.00000317,0.00000091
0.478000,0.00077999,0.00000880,0.00000663,0.00000534,0.00000318,0.00000091
0.480000,0.00078014,0.00000880,0.00000664,0.00000534,0.00000318,0.00000091
0.482000,0.00078028,0.00000880,0.00000664,0.00000534,0.00000318,0.00000091
0.484000,0.00078043,0.00000880,0.00000664,0.00000534,0.00000318,0.00000091
0.486000,0.00078057,0.00000880,0.00000664,0.00000534,0.00000318,0.00000091
0.488000,0.00078072,0.00000880,0.00000664,0.00000534,0.00000318,0.00000091
0.490000,0.00078086,0.00000880,0.00000664,0.00000534,0.00000318,0.00000091
0.492000,0.00078101,0.00000880,0.00000664,0.00000534,0.00000318,0.00000091
0.494000,0.00078115,0.00000880,0.00000664,0.00000534,0.00000318,0.00000091
0.496000,0.00078130,0.00000880,0.00000664,0.00000534,0.00000318,0.00000091
0.498000,0.00078144,0.00000880,0.00000664,0.00000534,0.00000318,0.00000091
0.500000,0.00078159,0.00000880,0.00000664,0.00000535,0.00000318,0.00000091
0.502000,0.00078173,0.00000880,0.00000664,0.00000535,0.00000318,0.00000091
0.504000,0.00078188,0.00000880,0.00000664,0.00000535,0.00000318,0.00000091
0.506000,0.00078202,0.00000880,0.00000664,0.00000535,0.00000318,0.00000091
0.508000,0.00078217,0.00000881,0.00000664,0.00000535,0.00000318,0.00000091
0.510000,0.00078231,0.00000881,0.00000664,0.00000535,0.00000318,0.00000091
0.512000,0.00078246,0.00000881,0.00000664,0.00000535,0.00000318,0.00000091
0.514000,0.00078260,0.00000881,0.00000664,0.00000535,0.00000318,0.00000091
0.516000,0.00078275,0.00000881,0.00000664,0.00000535,0.00000318,0.00000091
