E[1] [eV],Re(eps)_nbnd_10,Re(eps)_nbnd_20,Re(eps)_nbnd_30,Re(eps)_nbnd_40,Re(eps)_nbnd_50,Re(eps)_nbnd_60,Re(eps)_nbnd_70,Re(eps)_nbnd_80
0.322000,1.00640900,1.00949100,1.01070300,1.01109400,1.01132600,1.01146300,1.01155200,1.01159700
0.324000,1.00640900,1.00949100,1.01070300,1.01109500,1.01132600,1.01146400,1.01155200,1.01159700
0.326000,1.00640900,1.00949100,1.01070400,1.01109500,1.01132600,1.01146400,1.01155200,1.01159700
0.328000,1.00641000,1.00949200,1.01070400,1.01109500,1.01132700,1.01146400,1.01155300,1.01159800
0.330000,1.00641000,1.00949200,1.01070400,1.01109600,1.01132700,1.01146500,1.01155300,1.01159800
0.332000,1.00641000,1.00949200,1.01070400,1.01109600,1.01132700,1.01146500,1.01155300,1.01159800
0.334000,1.00641000,1.00949200,1.01070500,1.01109600,1.01132800,1.01146500,1.01155400,1.01159800
0.336000,1.00641000,1.00949300,1.01070500,1.01109600,1.01132800,1.01146500,1.01155400,1.01159900
0.338000,1.00641000,1.00949300,1.01070500,1.01109700,1.01132800,1.01146600,1.01155400,1.01159900
0.340000,1.00641100,1.00949300,1.01070600,1.01109700,1.01132800,1.01146600,1.01155400,1.01159900
0.342000,1.00641100,1.00949300,1.01070600,1.01109700,1.01132900,1.01146600,1.01155500,1.01160000
0.344000,1.00641100,1.00949400,1.01070600,1.01109800,1.01132900,1.01146700,1.01155500,1.01160000
0.346000,1.00641100,1.00949400,1.01070600,1.01109800,1.01132900,1.01146700,1.01155500,1.01160000
0.348000,1.00641100,1.00949400,1.01070700,1.01109800,1.01133000,1.01146700,1.01155600,1.01160000
0.350000,1.00641200,1.00949400,1.01070700,1.01109900,1.01133000,1.01146800,1.01155600,1.01160100
0.352000,1.00641200,1.00949500,1.01070700,1.01109900,1.01133000,1.01146800,1.01155600,1.01160100
0.354000,1.00641200,1.00949500,1.01070700,1.01109900,1.01133000,1.01146800,1.01155700,1.01160100
0.356000,1.00641200,1.00949500,1.01070800,1.01109900,1.01133100,1.01146800,1.01155700,1.01160200
0.358000,1.00641200,1.00949500,1.01070800,1.01110000,1.01133100,1.01146900,1.01155700,1.01160200
0.360000,1.00641300,1.00949600,1.01070800,1.01110000,1.01133100,1.01146900,1.01155700,1.01160200
0.362000,1.00641300,1.00949600,1.01070900,1.01110000,1.01133200,1.01146900,1.01155800,1.01160300
0.364000,1.00641300,1.00949600,1.01070900,1.01110000,1.01133200,1.01147000,1.01155800,1.01160300
0.366000,1.00641300,1.00949600,1.01070900,1.01110100,1.01133200,1.01147000,1.01155800,1.01160300
0.368000,1.00641300,1.00949700,1.01071000,1.01110100,1.01133200,1.01147000,1.01155900,1.01160300
0.370000,1.00641300,1.00949700,1.01071000,1.01110100,1.01133300,1.01147000,1.01155900,1.01160400
