E[1] [eV],Re(eps)_nk_4,Re(eps)_nk_6,Re(eps)_nk_8,Re(eps)_nk_10,Re(eps)_nk_12,Re(eps)_nk_14,Re(eps)_nk_16,Re(eps)_nk_18
0.060000,1.00640200,1.00634600,1.00636000,1.00639300,1.00637000,1.00637000,1.00634300,1.00637500
0.062000,1.00640200,1.00634600,1.00636000,1.00639300,1.00637000,1.00637000,1.00634300,1.00637500
0.064000,1.00640300,1.00634600,1.00636000,1.00639300,1.00637000,1.00637000,1.00634300,1.00637500
0.066000,1.00640300,1.00634600,1.00636000,1.00639400,1.00637100,1.00637100,1.00634300,1.00637500
0.068000,1.00640300,1.00634600,1.00636100,1.00639400,1.00637100,1.00637100,1.00634300,1.00637600
0.070000,1.00640300,1.00634700,1.00636100,1.00639400,1.00637100,1.00637100,1.00634400,1.00637600
0.072000,1.00640300,1.00634700,1.00636100,1.00639400,1.00637100,1.00637100,1.00634400,1.00637600
0.074000,1.00640400,1.00634700,1.00636100,1.00639400,1.00637100,1.00637100,1.00634400,1.00637600
0.076000,1.00640400,1.00634700,1.00636100,1.00639500,1.00637100,1.00637100,1.00634400,1.00637600
0.078000,1.00640400,1.00634700,1.00636100,1.00639500,1.00637200,1.00637200,1.00634400,1.00637700
0.080000,1.00640400,1.00634700,1.00636200,1.00639500,1.00637200,1.00637200,1.00634400,1.00637700
0.082000,1.00640400,1.00634800,1.00636200,1.00639500,1.00637200,1.00637200,1.00634500,1.00637700
0.084000,1.00640400,1.00634800,1.00636200,1.00639500,1.00637200,1.00637200,1.00634500,1.00637700
0.086000,1.00640500,1.00634800,1.00636200,1.00639500,1.00637200,1.00637200,1.00634500,1.00637700
0.088000,1.00640500,1.00634800,1.00636200,1.00639600,1.00637200,1.00637300,1.00634500,1.00637700
0.090000,1.00640500,1.00634800,1.00636300,1.00639600,1.00637300,1.00637300,1.00634500,1.00637800
0.092000,1.00640500,1.00634800,1.00636300,1.00639600,1.00637300,1.00637300,1.00634600,1.00637800
0.094000,1.00640500,1.00634900,1.00636300,1.00639600,1.00637300,1.00637300,1.00634600,1.00637800
0.096000,1.00640600,1.00634900,1.00636300,1.00639600,1.00637300,1.00637300,1.00634600,1.00637800
0.098000,1.00640600,1.00634900,1.00636300,1.00639700,1.00637300,1.00637400,1.00634600,1.00637800
0.100000,1.00640600,1.00634900,1.00636400,1.00639700,1.00637400,1.00637400,1.00634600,1.00637800
0.102000,1.00640600,1.00634900,1.00636400,1.00639700,1.00637400,1.00637400,1.00634600,1.00637900
0.104000,1.00640600,1.00635000,1.00636400,1.00639700,1.00637400,1.00637400,1.00634700,1.00637900
0.106000,1.00640600,1.00635000,1.00636400,1.00639700,1.00637400,1.00637400,1.00634700,1.00637900
0.108000,1.00640700,1.00635000,1.00636400,1.00639700,1.00637400,1.00637400,1.00634700,1.00637900
0.110000,1.00640700,1.00635000,1.00636400,1.00639800,1.00637400,1.00637500,1.00634700,1.00637900
0.112000,1.00640700,1.00635000,1.00636500,1.00639800,1.00637500,1.00637500,1.00634700,1.00637900
0.114000,1.00640700,1.00635100,1.00636500,1.00639800,1.00637500,1.00637500,1.00634800,1.00638000
0.116000,1.00640700,1.00635100,1.00636500,1.00639800,1.00637500,1.00637500,1.00634800,1.00638000
0.118000,1.00640700,1.00635100,1.00636500,1.00639800,1.00637500,1.00637500,1.00634800,1.00638000
0.120000,1.00640800,1.00635100,1.00636500,1.00639900,1.00637500,1.00637500,1.00634800,1.00638000
0.122000,1.00640800,1.00635100,1.00636600,1.00639900,1.00637600,1.00637600,1.00634800,1.00638000
0.124000,1.00640800,1.00635100,1.00636600,1.00639900,1.00637600,1.00637600,1.00634800,1.00638100
0.126000,1.00640800,1.00635100,1.00636600,1.00639900,1.00637600,1.00637600,1.00634900,1.00638100
0.128000,1.00640800,1.00635200,1.00636600,1.00639900,1.00637600,1.00637600,1.00634900,1.00638100
0.130000,1.00640900,1.00635200,1.00636600,1.00639900,1.00637600,1.00637600,1.00634900,1.00638100
0.132000,1.00640900,1.00635200,1.00636600,1.00640000,1.00637700,1.00637700,1.00634900,1.00638100
0.134000,1.00640900,1.00635200,1.00636700,1.00640000,1.00637700,1.00637700,1.00634900,1.00638200
0.136000,1.00640900,1.00635200,1.00636700,1.00640000,1.00637700,1.00637700,1.00634900,1.00638200
0.138000,1.00640900,1.00635300,1.00636700,1.00640000,1.00637700,1.00637700,1.00635000,1.00638200
0.140000,1.00641000,1.00635300,1.00636700,1.00640000,1.00637700,1.00637700,1.00635000,1.00638200
0.142000,1.00641000,1.00635300,1.00636700,1.00640100,1.00637700,1.00637700,1.00635000,1.00638200
0.144000,1.00641000,1.00635300,1.00636700,1.00640100,1.00637800,1.00637800,1.00635000,1.00638200
0.146000,1.00641000,1.00635300,1.00636800,1.00640100,1.00637800,1.00637800,1.00635000,1.00638300
0.148000,1.00641000,1.00635300,1.00636800,1.00640100,1.00637800,1.00637800,1.00635100,1.00638300
0.150000,1.00641000,1.00635400,1.00636800,1.00640100,1.00637800,1.00637800,1.00635100,1.00638300
0.152000,1.00641100,1.00635400,1.00636800,1.00640100,1.00637800,1.00637800,1.00635100,1.00638300
0.154000,1.00641100,1.00635400,1.00636800,1.00640200,1.00637800,1.00637900,1.00635100,1.00638300
0.156000,1.00641100,1.00635400,1.00636900,1.00640200,1.00637900,1.00637900,1.00635100,1.00638400
0.158000,1.00641100,1.00635400,1.00636900,1.00640200,1.00637900,1.00637900,1.00635100,1.00638400
0.160000,1.00641100,1.00635500,1.00636900,1.00640200,1.00637900,1.00637900,1.00635200,1.00638400
0.162000,1.00641200,1.00635500,1.00636900,1.00640200,1.00637900,1.00637900,1.00635200,1.00638400
0.164000,1.00641200,1.00635500,1.00636900,1.00640200,1.00637900,1.00637900,1.00635200,1.00638400
0.166000,1.00641200,1.00635500,1.00636900,1.00640300,1.00637900,1.00638000,1.00635200,1.00638400
0.168000,1.00641200,1.00635500,1.00637000,1.00640300,1.00638000,1.00638000,1.00635200,1.00638500
0.170000,1.00641200,1.00635500,1.00637000,1.00640300,1.00638000,1.00638000,1.00635300,1.00638500
0.172000,1.00641300,1.00635600,1.00637000,1.00640300,1.00638000,1.00638000,1.00635300,1.00638500
0.174000,1.00641300,1.00635600,1.00637000,1.00640300,1.00638000,1.00638000,1.00635300,1.00638500
0.176000,1.00641300,1.00635600,1.00637000,1.00640400,1.00638000,1.00638100,1.00635300,1.00638500
