E[1] [eV],Im(eps)_nk_4,Im(eps)_nk_6,Im(eps)_nk_8,Im(eps)_nk_10,Im(eps)_nk_12,Im(eps)_nk_14,Im(eps)_nk_16,Im(eps)_nk_18
12.293230,1.03419400,1.69188100,1.15967300,1.58330100,1.48353100,1.98912800,1.41378500,1.60117700
12.330830,0.96332200,1.99409200,1.47089600,1.81439300,1.34885800,1.84705900,1.47743100,1.62921600
12.368420,0.96481400,2.29442400,1.89016700,2.17458300,1.27539600,1.65887100,1.53188600,1.67656200
12.406010,0.96975400,2.42466200,2.20531800,2.49549400,1.22372800,1.45575600,1.55142900,1.75046300
12.443610,0.88643300,2.27970800,2.10485900,2.54661500,1.19387800,1.28044100,1.56711900,1.80309100
12.481200,0.73955800,1.86534300,1.72744000,2.37466000,1.19989800,1.14179500,1.60810000,1.75950300
12.518800,0.60929800,1.42690600,1.40276800,2.12118600,1.25568300,1.06675700,1.64993800,1.62652600
12.556390,0.51914700,1.11571900,1.23782400,1.84047400,1.34314900,1.07750300,1.67097700,1.47555500
12.593980,0.46172700,0.93244000,1.22780800,1.56904300,1.47316800,1.16695600,1.66161500,1.37022600
12.631580,0.42721700,0.84078500,1.35611500,1.35010100,1.66828100,1.32332900,1.61788600,1.32459800
12.669170,0.40920700,0.79601800,1.58265100,1.16592600,1.81077500,1.51039300,1.55301000,1.30464200
12.706770,0.40427200,0.75463600,1.81379500,1.01191900,1.77344100,1.62919100,1.49878400,1.27671700
12.744360,0.41109900,0.72177700,1.92305400,0.89284100,1.69102300,1.64738100,1.49815200,1.24556900
12.781950,0.43003300,0.73078000,1.80483400,0.80183600,1.66654100,1.62888500,1.54741100,1.24423700
12.819550,0.46308600,0.80389100,1.54431400,0.74021900,1.59562700,1.61892000,1.57293700,1.27275300
12.857140,0.51438800,0.96316600,1.31750700,0.71851800,1.41927900,1.62173800,1.49859000,1.28400100
12.894740,0.59099900,1.23462400,1.21503900,0.73727700,1.25349700,1.56083000,1.34782100,1.27404600
12.932330,0.70313100,1.59643400,1.25879000,0.79843000,1.18189500,1.38593300,1.18510000,1.28406900
12.969920,0.85922700,1.84600000,1.45723000,0.89246100,1.16753700,1.19928200,1.07267600,1.32617700
13.007520,1.05097400,1.72457600,1.77372200,0.99514400,1.14229700,1.09193100,1.04442600,1.40966400
13.045110,1.25053100,1.37646000,2.00379100,1.13048700,1.11827100,1.07724200,1.07045500,1.51697500
