E[1] [eV],Re(eps)_nk_4,Re(eps)_nk_6,Re(eps)_nk_8,Re(eps)_nk_10,Re(eps)_nk_12,Re(eps)_nk_14,Re(eps)_nk_16,Re(eps)_nk_18
9.661654,3.77569300,2.42138500,3.13867900,3.34105000,2.96145500,3.31677100,3.14584000,3.26141100
9.699247,3.88185800,2.54130400,3.21663800,3.38528900,2.98905700,3.34799600,3.09857500,3.29915400
9.736841,4.00098600,2.68105700,3.29826800,3.41486700,3.05860900,3.35256000,3.07140400,3.28250900
9.774436,4.13590300,2.82130300,3.32414400,3.42161200,3.14971800,3.30291300,3.10501200,3.22784400
9.812029,4.29013000,2.95837000,3.25743200,3.38324600,3.24380000,3.23238700,3.18446400,3.18286400
9.849624,4.46801000,3.09362100,3.11128700,3.33213300,3.29931600,3.18935800,3.27250400,3.18359500
9.887218,4.67463600,3.22958800,2.99595000,3.24371200,3.30052200,3.14624000,3.34372800,3.21093100
9.924811,4.91521500,3.36801200,3.01049700,3.08120200,3.31707400,3.07178900,3.37563900,3.23062000
9.962406,5.19253200,3.50690400,3.12159800,2.92217600,3.39780400,3.00976200,3.35602100,3.23108300
9.999999,5.49874500,3.63295000,3.27181800,2.86496300,3.50088900,3.01794400,3.29222100,3.23658800
10.037590,5.79060100,3.70481300,3.42560400,2.91961000,3.55972900,3.10255900,3.21937800,3.26484600
10.075190,5.92165900,3.64628900,3.54411200,3.02042000,3.52443300,3.21410800,3.19017200,3.28935100
10.112780,5.51601600,3.44644500,3.55443900,3.13077400,3.38596200,3.30675500,3.19928400,3.28736400
10.150380,4.06338000,3.26030700,3.38572100,3.25070100,3.22460600,3.36762800,3.20940700,3.25278000
10.187970,1.94737800,3.19304600,3.14229500,3.34740300,3.11034800,3.41821900,3.21046500,3.19582500
10.225560,0.55746600,3.25349400,3.04773800,3.35375400,3.03701100,3.49171800,3.21875700,3.15914000
10.263160,0.20515700,3.41201900,3.13230300,3.27171700,2.99575500,3.55792700,3.26052400,3.18868500
10.300750,0.37162400,3.62342100,3.30780400,3.24379900,2.97774900,3.53008000,3.33627200,3.26335900
10.338350,0.69531400,3.86086800,3.50990700,3.33931100,3.00048700,3.38863300,3.39834400,3.33468000
10.375940,1.03838600,4.10628800,3.68989900,3.50210100,3.09887700,3.22843100,3.42766800,3.39736400
10.413530,1.36159300,4.32147000,3.76890200,3.66119900,3.24619200,3.12152400,3.43935600,3.45475000
10.451130,1.65956800,4.40356600,3.63918700,3.75291800,3.36877400,3.09093200,3.42137800,3.49592300
10.488720,1.93734200,4.17865500,3.32519300,3.76232800,3.39839300,3.12925200,3.33293900,3.48907000
10.526310,2.20269600,3.64316800,3.05666600,3.73223000,3.37202200,3.21115700,3.20054900,3.42479500
10.563910,2.46369900,3.08451500,3.01390200,3.65788800,3.40943100,3.31513300,3.12019400,3.36580800
10.601500,2.72758900,2.52201200,3.15975200,3.52005400,3.51712500,3.39310000,3.14040200,3.31163600
10.639100,2.99898600,1.95602700,3.36014200,3.36128700,3.65699100,3.42432500,3.24225700,3.22097800
10.676690,3.27414700,1.70091100,3.49202800,3.22400200,3.82362900,3.43536400,3.37513600,3.15108900
10.714280,3.52380900,1.77861800,3.45169300,3.07860300,3.93574700,3.46641200,3.48354100,3.15655700
10.751880,3.64711100,1.97735200,3.19343000,2.92155800,3.81674100,3.56356900,3.54344700,3.22522500
10.789470,3.39515100,2.11014200,2.75993700,2.78608900,3.38012400,3.66102900,3.57692700,3.33135200
10.827070,2.48418600,2.04821300,2.23134000,2.70762300,2.86713800,3.59930800,3.56994800,3.42564600
10.864660,1.26984100,1.87277100,1.87120500,2.64356800,2.55629200,3.29682200,3.46829400,3.43810500
10.902250,0.57249000,1.82444500,1.83485900,2.52903800,2.46425200,2.87578900,3.24065000,3.35243900
10.939850,0.46663600,1.92295800,2.00951200,2.45718900,2.51513000,2.58688400,2.95642700,3.18672900
10.977440,0.63182500,2.04209700,2.26465300,2.56095100,2.68982200,2.54637000,2.69083100,2.92289000
11.015040,0.87218600,2.10223700,2.54211300,2.79055300,2.93615900,2.61181300,2.42687200,2.61145000
11.052630,1.11647600,2.15513800,2.82606100,3.03913000,3.14898500,2.60124300,2.23013600,2.35834600
11.090220,1.34542100,2.27982800,3.11611100,3.24283600,3.18232000,2.49152900,2.16345200,2.22477700
11.127820,1.55722900,2.46414900,3.41470800,3.40929500,2.91973800,2.38144500,2.17062300,2.19246900
11.165410,1.75515200,2.67533800,3.71756600,3.49726200,2.47046500,2.28195900,2.18080500,2.20634200
11.203010,1.94321700,2.89968800,3.99818500,3.32033900,2.08824100,2.15183700,2.18068300,2.25958100
11.240600,2.12397100,3.13592000,4.19072300,2.82956900,1.93078700,2.07320500,2.24555300,2.31721100
11.278190,2.29555100,3.38712200,4.22240900,2.35247900,1.89598500,2.08272500,2.39383600,2.34518400
11.315790,2.44855000,3.65581100,4.04784200,2.10459300,1.83001800,2.16388300,2.52336800,2.35233800
11.353380,2.57675400,3.93698100,3.55089600,2.02381400,1.74027100,2.29880400,2.52799100,2.31347200
11.390980,2.70327400,4.20055900,2.69732600,1.96194000,1.72430000,2.42323300,2.39534700,2.17902100
11.428570,2.83816000,4.35049300,1.79919500,1.72808300,1.81698600,2.43443400,2.19315100,1.98251400
11.466160,2.91331900,4.18792800,1.24123600,1.35331500,1.90243900,2.26210800,1.99338700,1.82915500
11.503760,2.78679300,3.58959700,1.05109800,1.01109800,1.89468900,1.95267300,1.82175900,1.77204000
11.541350,2.39496100,2.88362700,0.96208700,0.81662500,1.86263300,1.63244200,1.66338700,1.77745000
