E[1] [eV],Im(eps)_nbnd_30,Im(eps)_nbnd_40,Im(eps)_nbnd_50,Im(eps)_nbnd_60,Im(eps)_nbnd_70,Im(eps)_nbnd_80,Im(eps)_nbnd_90,Im(eps)_nbnd_100,Im(eps)_nbnd_110,Im(eps)_nbnd_120,Im(eps)_nbnd_130
14.022560,0.97777100,1.35302400,1.00310900,0.89217100,0.83058100,0.82145200,0.82084200,0.82110500,0.82140100,0.82151900,0.82172500
14.060150,0.92999600,1.07089400,0.86301000,0.73967800,0.68414700,0.67621200,0.67567400,0.67590500,0.67617400,0.67628500,0.67647300
14.097740,0.81272700,0.83979200,0.71459400,0.60256100,0.56313300,0.55775700,0.55740200,0.55757200,0.55776500,0.55785000,0.55798200
14.135340,0.67651000,0.67254900,0.58224200,0.50795100,0.48650900,0.48377300,0.48360900,0.48371400,0.48382500,0.48387800,0.48395200
14.172930,0.57978700,0.55130800,0.49294700,0.45701600,0.44980800,0.44904400,0.44901900,0.44907300,0.44912100,0.44915000,0.44918000
14.210530,0.52037900,0.47008200,0.44588100,0.43827300,0.43773800,0.43769100,0.43769600,0.43770900,0.43771900,0.43773100,0.43774000
14.248120,0.48566100,0.42538900,0.43060600,0.43276500,0.43015500,0.42990500,0.42986000,0.42982900,0.42981300,0.42980700,0.42981000
14.285710,0.47760100,0.41172800,0.43045500,0.42690500,0.42550500,0.42603000,0.42602300,0.42593100,0.42586800,0.42583900,0.42581700
14.323310,0.48777200,0.42264400,0.43011800,0.43254800,0.44164300,0.44421100,0.44434100,0.44416400,0.44402400,0.44396200,0.44389300
14.360900,0.49225900,0.44433900,0.43884100,0.46785200,0.49357100,0.49913000,0.49945900,0.49915700,0.49890400,0.49879500,0.49865700
14.398490,0.48484000,0.46219200,0.47678500,0.54694700,0.59574200,0.60551400,0.60611800,0.60563100,0.60521200,0.60503400,0.60479700
14.436090,0.48782400,0.47711000,0.56015700,0.68630700,0.76501500,0.77998200,0.78091700,0.78020100,0.77958200,0.77932000,0.77896300
14.473680,0.52190400,0.49863300,0.70647600,0.89431700,0.99393000,1.01088600,1.01193300,1.01114700,1.01047500,1.01019300,1.00979700
14.511280,0.58871800,0.55034400,0.92297400,1.11654200,1.17636900,1.18244600,1.18276600,1.18248000,1.18226700,1.18218200,1.18204700
