E[1] [eV],Im(eps)_nbnd_10,Im(eps)_nbnd_20,Im(eps)_nbnd_30,Im(eps)_nbnd_40,Im(eps)_nbnd_50,Im(eps)_nbnd_60,Im(eps)_nbnd_70,Im(eps)_nbnd_80
10.150380,1.38378800,1.38420100,1.38423900,1.38424800,1.38424900,1.38425200,1.38425200,1.38425400
10.187970,1.36701300,1.36742700,1.36746400,1.36747300,1.36747700,1.36747800,1.36747800,1.36747800
10.225560,1.18532800,1.18574100,1.18577900,1.18578700,1.18579100,1.18579300,1.18579400,1.18579400
10.263160,1.02578000,1.02619500,1.02623300,1.02624100,1.02624400,1.02624600,1.02624700,1.02624800
10.300750,0.96876800,0.96918400,0.96922100,0.96923000,0.96923300,0.96923400,0.96923600,0.96923600
10.338350,1.02474500,1.02516100,1.02519900,1.02520800,1.02521100,1.02521200,1.02521200,1.02521400
10.375940,1.20150800,1.20192600,1.20196400,1.20197200,1.20197700,1.20197800,1.20197700,1.20198000
10.413530,1.49864700,1.49906700,1.49910400,1.49911200,1.49911500,1.49911600,1.49911700,1.49911600
10.451130,1.82651300,1.82693100,1.82696800,1.82697800,1.82698200,1.82698300,1.82698300,1.82698400
10.488720,1.97779300,1.97821400,1.97825100,1.97825900,1.97826500,1.97826600,1.97826600,1.97826600
10.526310,1.86806900,1.86849000,1.86852800,1.86853600,1.86853900,1.86854100,1.86854100,1.86854200
10.563910,1.65724900,1.65767100,1.65770900,1.65771900,1.65772200,1.65772300,1.65772300,1.65772400
10.601500,1.54867300,1.54909700,1.54913500,1.54914500,1.54914700,1.54914900,1.54914900,1.54915000
10.639100,1.62055800,1.62098100,1.62102000,1.62102900,1.62103200,1.62103400,1.62103400,1.62103400
10.676690,1.86432300,1.86474800,1.86478700,1.86479400,1.86479700,1.86479900,1.86479900,1.86479800
10.714280,2.21186300,2.21229000,2.21232800,2.21233500,2.21234200,2.21234000,2.21234100,2.21234000
10.751880,2.53082800,2.53125500,2.53129200,2.53130200,2.53130500,2.53130800,2.53130700,2.53130700
10.789470,2.70283600,2.70326600,2.70330400,2.70331100,2.70331300,2.70331500,2.70331500,2.70331500
10.827070,2.59818700,2.59861600,2.59865500,2.59866500,2.59866600,2.59866600,2.59866600,2.59866500
10.864660,2.17753200,2.17796300,2.17800200,2.17801100,2.17801500,2.17801500,2.17801500,2.17801700
10.902250,1.68960900,1.69004000,1.69007900,1.69008700,1.69009100,1.69009300,1.69009300,1.69009300
10.939850,1.32605200,1.32648300,1.32652200,1.32653100,1.32653500,1.32653600,1.32653600,1.32653700
10.977440,1.10516200,1.10559500,1.10563400,1.10564200,1.10564500,1.10564700,1.10564700,1.10564800
11.015040,0.99211700,0.99255100,0.99258900,0.99259800,0.99260200,0.99260300,0.99260400,0.99260400
11.052630,0.95961900,0.96005400,0.96009200,0.96010100,0.96010500,0.96010600,0.96010700,0.96010700
11.090220,0.99681900,0.99725500,0.99729300,0.99730100,0.99730500,0.99730700,0.99730700,0.99730700
11.127820,1.10831800,1.10875500,1.10879400,1.10880400,1.10880600,1.10880700,1.10880800,1.10880800
11.165410,1.31409400,1.31453200,1.31457000,1.31457900,1.31458300,1.31458500,1.31458500,1.31458500
11.203010,1.64622500,1.64666600,1.64670400,1.64671200,1.64671500,1.64671500,1.64671800,1.64671700
11.240600,2.12300000,2.12344200,2.12347800,2.12349000,2.12349200,2.12349200,2.12349300,2.12349500
11.278190,2.70876500,2.70920500,2.70924500,2.70925100,2.70925600,2.70925700,2.70925800,2.70926000
11.315790,3.36635100,3.36679200,3.36683200,3.36684400,3.36684300,3.36684700,3.36685000,3.36684700
11.353380,4.02007000,4.02051000,4.02054800,4.02055600,4.02055700,4.02056300,4.02056100,4.02055700
11.390980,4.39108600,4.39152800,4.39156700,4.39157500,4.39157900,4.39157900,4.39157900,4.39157900
11.428570,4.23856200,4.23901000,4.23904700,4.23905400,4.23905800,4.23905800,4.23905900,4.23905700
11.466160,3.74119800,3.74164400,3.74168200,3.74169000,3.74169400,3.74169400,3.74169500,3.74169400
11.503760,3.27217500,3.27262400,3.27266200,3.27267100,3.27267400,3.27267600,3.27267600,3.27267600
11.541350,2.98979200,2.99024000,2.99027900,2.99028800,2.99029200,2.99029200,2.99029300,2.99029400
11.578950,2.71288200,2.71333100,2.71336900,2.71337800,2.71338100,2.71338200,2.71338300,2.71338300
11.616540,2.31966300,2.32011400,2.32015200,2.32016100,2.32016400,2.32016600,2.32016600,2.32016700
11.654130,1.98590500,1.98635700,1.98639600,1.98640500,1.98640800,1.98640900,1.98640900,1.98641000
11.691730,1.85403800,1.85449100,1.85453000,1.85453900,1.85454300,1.85454400,1.85454500,1.85454500
11.729320,1.94363900,1.94409300,1.94413200,1.94414200,1.94414500,1.94414600,1.94414600,1.94414700
11.766920,2.17955600,2.18001200,2.18005000,2.18005900,2.18006300,2.18006400,2.18006400,2.18006600
11.804510,2.31123100,2.31168800,2.31172700,2.31173600,2.31174000,2.31174100,2.31174100,2.31174200
11.842100,2.13272400,2.13318200,2.13322000,2.13322900,2.13323300,2.13323400,2.13323500,2.13323500
11.879700,1.80724100,1.80770000,1.80773900,1.80774800,1.80775200,1.80775300,1.80775300,1.80775400
11.917290,1.51920100,1.51966000,1.51969900,1.51970800,1.51971200,1.51971300,1.51971400,1.51971400
11.954890,1.34327500,1.34373700,1.34377600,1.34378400,1.34378800,1.34378900,1.34379000,1.34379100
11.992480,1.29536800,1.29583100,1.29586900,1.29587900,1.29588200,1.29588300,1.29588400,1.29588400
12.030070,1.30650500,1.30696800,1.30700700,1.30701600,1.30702000,1.30702100,1.30702200,1.30702200
12.067670,1.24019300,1.24065800,1.24069600,1.24070600,1.24070900,1.24071100,1.24071100,1.24071200
12.105260,1.08118700,1.08165300,1.08169300,1.08170200,1.08170500,1.08170700,1.08170700,1.08170800
12.142860,0.94024900,0.94071600,0.94075500,0.94076400,0.94076700,0.94076900,0.94077000,0.94077000
12.180450,0.87172500,0.87219300,0.87223200,0.87224100,0.87224500,0.87224600,0.87224700,0.87224700
12.218040,0.88070700,0.88117600,0.88121600,0.88122500,0.88122800,0.88123000,0.88123000,0.88123100
12.255640,0.97107300,0.97154300,0.97158200,0.97159200,0.97159500,0.97159700,0.97159700,0.97159800
12.293230,1.15916800,1.15964100,1.15968000,1.15968900,1.15969200,1.15969300,1.15969400,1.15969400
12.330830,1.47040000,1.47087400,1.47091400,1.47092100,1.47092500,1.47092700,1.47092800,1.47092800
12.368420,1.88967600,1.89015200,1.89018900,1.89019900,1.89020100,1.89020300,1.89020500,1.89020500
