E[1] [eV],Re(eps)_nbnd_10,Re(eps)_nbnd_20,Re(eps)_nbnd_30,Re(eps)_nbnd_40,Re(eps)_nbnd_50,Re(eps)_nbnd_60,Re(eps)_nbnd_70,Re(eps)_nbnd_80
9.999999,3.10744000,3.23411700,3.25747500,3.26474700,3.26832200,3.27014000,3.27120100,3.27183600
10.037590,3.26113900,3.38789800,3.41126100,3.41853200,3.42210700,3.42392400,3.42498700,3.42562300
10.075190,3.37955200,3.50639200,3.52975900,3.53703000,3.54060800,3.54242600,3.54348600,3.54412200
10.112780,3.38977300,3.51669700,3.54006900,3.54734200,3.55091800,3.55273600,3.55379800,3.55443100
10.150380,3.22094600,3.34795300,3.37132800,3.37860300,3.38217800,3.38399700,3.38505900,3.38569400
10.187970,2.97743400,3.10452400,3.12790500,3.13517900,3.13875600,3.14057300,3.14163600,3.14227000
10.225560,2.88281200,3.00998500,3.03337000,3.04064500,3.04422200,3.04604100,3.04710300,3.04773600
10.263160,2.96730400,3.09456100,3.11795200,3.12522700,3.12880400,3.13062300,3.13168500,3.13232000
10.300750,3.14272100,3.27006300,3.29345700,3.30073400,3.30431200,3.30613000,3.30719300,3.30782600
10.338350,3.34473200,3.47216000,3.49555900,3.50283600,3.50641500,3.50823300,3.50929500,3.50993000
10.375940,3.52462900,3.65214400,3.67554900,3.68282600,3.68640500,3.68822300,3.68928300,3.68992000
10.413530,3.60352400,3.73112500,3.75453300,3.76181200,3.76539100,3.76720900,3.76827200,3.76890500
10.451130,3.47369500,3.60138000,3.62479400,3.63207500,3.63565400,3.63747300,3.63853500,3.63917000
10.488720,3.15959800,3.28737200,3.31078800,3.31806900,3.32164900,3.32346700,3.32453000,3.32516300
10.526310,2.89099300,3.01885300,3.04227600,3.04955700,3.05313700,3.05495500,3.05601800,3.05665200
10.563910,2.84815700,2.97610500,2.99953200,3.00681500,3.01039500,3.01221300,3.01327600,3.01391000
10.601500,2.99392500,3.12196200,3.14539500,3.15267800,3.15625700,3.15807700,3.15914000,3.15977400
10.639100,3.19421900,3.32234500,3.34578200,3.35306500,3.35664600,3.35846600,3.35952800,3.36016300
10.676690,3.32599400,3.45421000,3.47765100,3.48493600,3.48851600,3.49033500,3.49139800,3.49203200
10.714280,3.28553300,3.41383800,3.43728500,3.44457100,3.44815200,3.44996900,3.45103300,3.45166500
10.751880,3.02715100,3.15554800,3.17899800,3.18628600,3.18986600,3.19168600,3.19274800,3.19338300
10.789470,2.59355700,2.72204300,2.74550000,2.75278700,2.75636700,2.75818700,2.75925000,2.75988300
10.827070,2.06486800,2.19344500,2.21690600,2.22419500,2.22777600,2.22959600,2.23065900,2.23129300
10.864660,1.70466400,1.83333300,1.85679900,1.86408800,1.86766900,1.86949000,1.87055300,1.87118700
10.902250,1.66824900,1.79701100,1.82048000,1.82777000,1.83135200,1.83317200,1.83423500,1.83487000
10.939850,1.84281600,1.97167100,1.99514600,2.00243700,2.00602000,2.00783900,2.00890200,2.00953700
10.977440,2.09786500,2.22681200,2.25029200,2.25758300,2.26116600,2.26298600,2.26404900,2.26468300
11.015040,2.37522500,2.50426700,2.52775100,2.53504400,2.53862600,2.54044700,2.54151000,2.54214500
11.052630,2.65907300,2.78820800,2.81169800,2.81899200,2.82257600,2.82439500,2.82545900,2.82609300
11.090220,2.94902300,3.07825300,3.10174800,3.10904200,3.11262600,3.11444600,3.11551000,3.11614400
11.127820,3.24752200,3.37684700,3.40034700,3.40764300,3.41122400,3.41304600,3.41410900,3.41474300
11.165410,3.55027500,3.67969700,3.70320100,3.71049700,3.71408200,3.71590200,3.71696500,3.71760100
11.203010,3.83078800,3.96030500,3.98381500,3.99111200,3.99469500,3.99651400,3.99758000,3.99821400
11.240600,4.02320800,4.15282200,4.17633700,4.18363600,4.18722100,4.18903900,4.19010400,4.19074000
11.278190,4.05477500,4.18448500,4.20800500,4.21530300,4.21888700,4.22071100,4.22177500,4.22240800
11.315790,3.88007100,4.00988000,4.03340300,4.04070400,4.04429000,4.04611100,4.04717400,4.04780800
11.353380,3.38297500,3.51288300,3.53641200,3.54371300,3.54730000,3.54912000,3.55018300,3.55082000
11.390980,2.52926700,2.65927400,2.68280800,2.69010800,2.69369500,2.69551500,2.69657800,2.69721500
11.428570,1.63106200,1.76116500,1.78470400,1.79200800,1.79559300,1.79741500,1.79847700,1.79911400
11.466160,1.07304800,1.20325100,1.22679800,1.23410100,1.23768600,1.23950900,1.24057100,1.24120700
11.503760,0.88282700,1.01312900,1.03668000,1.04398200,1.04756900,1.04939200,1.05045500,1.05109000
11.541350,0.79368900,0.92409400,0.94764900,0.95495500,0.95854000,0.96036200,0.96142600,0.96206200
11.578950,0.64013000,0.77063600,0.79419800,0.80150300,0.80509100,0.80691200,0.80797800,0.80861200
11.616540,0.59289900,0.72350700,0.74707400,0.75438100,0.75796900,0.75979000,0.76085400,0.76148900
11.654130,0.76194300,0.89265200,0.91622400,0.92353200,0.92711900,0.92894200,0.93000600,0.93064100
11.691730,1.03339700,1.16420900,1.18778700,1.19509600,1.19868300,1.20050500,1.20157000,1.20220500
11.729320,1.25508700,1.38600400,1.40958600,1.41689500,1.42048400,1.42230600,1.42337000,1.42400500
11.766920,1.26382800,1.39484700,1.41843500,1.42574600,1.42933400,1.43115600,1.43222100,1.43285500
11.804510,0.98616700,1.11729100,1.14088400,1.14819500,1.15178400,1.15360700,1.15467200,1.15530600
11.842100,0.67284500,0.80407300,0.82767400,0.83498600,0.83857400,0.84039700,0.84146200,0.84209700
11.879700,0.56592300,0.69725800,0.72086300,0.72817500,0.73176500,0.73358700,0.73465200,0.73528700
11.917290,0.63681900,0.76826000,0.79187000,0.79918400,0.80277400,0.80459600,0.80566100,0.80629700
11.954890,0.80106000,0.93260700,0.95622200,0.96353800,0.96712700,0.96895000,0.97001500,0.97065000
11.992480,0.95743000,1.08908500,1.11270500,1.12002200,1.12361200,1.12543400,1.12649900,1.12713400
12.030070,1.01360600,1.14536800,1.16899400,1.17631100,1.17990100,1.18172400,1.18278900,1.18342400
12.067670,0.99075500,1.12262500,1.14625600,1.15357400,1.15716500,1.15898800,1.16005200,1.16068800
12.105260,1.03302800,1.16500800,1.18864500,1.19596400,1.19955500,1.20137800,1.20244300,1.20307700
12.142860,1.18165500,1.31374300,1.33738600,1.34470600,1.34829700,1.35012000,1.35118500,1.35182100
12.180450,1.38656000,1.51875900,1.54240700,1.54972800,1.55332000,1.55514300,1.55620800,1.55684400
12.218040,1.61070400,1.74301300,1.76666700,1.77398900,1.77758100,1.77940500,1.78046900,1.78110500
12.255640,1.83526700,1.96768700,1.99134600,1.99866900,2.00226100,2.00408500,2.00515000,2.00578600
12.293230,2.03795200,2.17048400,2.19414800,2.20147200,2.20506500,2.20688800,2.20795300,2.20858900
12.330830,2.16587000,2.29851300,2.32218500,2.32950900,2.33310200,2.33492600,2.33599100,2.33662600
12.368420,2.09274700,2.22550300,2.24917800,2.25650500,2.26009700,2.26192100,2.26298700,2.26362200
12.406010,1.68957100,1.82244100,1.84612300,1.85345000,1.85704400,1.85886800,1.85993300,1.86056800
12.443610,1.17809900,1.31108300,1.33477100,1.34209800,1.34569200,1.34751600,1.34858200,1.34921700
12.481200,0.95749300,1.09059100,1.11428500,1.12161400,1.12520800,1.12703200,1.12809700,1.12873300
12.518800,1.02955600,1.16276900,1.18646900,1.19379800,1.19739300,1.19921700,1.20028200,1.20091800
